data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,totale_casi
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014053,Postalesio,659,2
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014054,Prata Camportaccio,2921,4
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014055,Rasura,292,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014056,Rogolo,564,1
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014057,Samolaco,2884,4
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014058,San Giacomo Filippo,395,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014059,Sernio,500,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,19
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,94
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,19
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,22
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,43
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,2
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,1
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,3
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,5
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,22
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,16
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,20
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,2
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,7
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,2
2020-04-09T16:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,12
