data,stato,codice_regione,denominazione_regione,codice_provincia,denominazione_provincia,sigla_provincia,codice_comune,denominazione_comune,abitanti,totale_casi
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014060,Sondalo,4237,16
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014061,Sondrio,21642,70
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014062,Spriana,101,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014063,Talamona,4768,17
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014064,Tartano,190,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014065,Teglio,4654,16
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014066,Tirano,9073,39
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014067,Torre di Santa Maria,824,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014068,Tovo di Sant'Agata,624,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014069,Traona,2536,2
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014070,Tresivio,2002,4
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014071,Valdidentro,4045,16
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014072,Valdisotto,3533,12
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014073,Valfurva,2703,20
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014074,Val Masino,939,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014075,Verceia,1093,4
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014076,Vervio,209,0
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014077,Villa di Chiavenna,1030,1
2020-04-02T19:00:00+0200,ITA,03,Lombardia,014,Sondrio,SO,014078,Villa di Tirano,2957,11
